observation_date,NHFSEPUCS
1999-01-01,178
1999-02-01,180
1999-03-01,185
1999-04-01,180
1999-05-01,184
1999-06-01,175
1999-07-01,177
1999-08-01,184
1999-09-01,184
1999-10-01,189
1999-11-01,189
1999-12-01,191
2000-01-01,188
2000-02-01,180
2000-03-01,185
2000-04-01,185
2000-05-01,184
2000-06-01,185
2000-07-01,183
2000-08-01,179
2000-09-01,176
2000-10-01,175
2000-11-01,173
2000-12-01,170
2001-01-01,173
2001-02-01,175
2001-03-01,170
2001-04-01,178
2001-05-01,177
2001-06-01,181
2001-07-01,186
2001-08-01,187
2001-09-01,191
2001-10-01,189
2001-11-01,191
2001-12-01,190
2002-01-01,190
2002-02-01,192
2002-03-01,196
2002-04-01,194
2002-05-01,200
2002-06-01,202
2002-07-01,204
2002-08-01,203
2002-09-01,200
2002-10-01,202
2002-11-01,201
2002-12-01,204
2003-01-01,206
2003-02-01,202
2003-03-01,205
2003-04-01,205
2003-05-01,207
2003-06-01,212
2003-07-01,212
2003-08-01,214
2003-09-01,218
2003-10-01,222
2003-11-01,232
2003-12-01,232
2004-01-01,231
2004-02-01,232
2004-03-01,238
2004-04-01,238
2004-05-01,241
2004-06-01,236
2004-07-01,239
2004-08-01,250
2004-09-01,251
2004-10-01,253
2004-11-01,253
2004-12-01,257
2005-01-01,269
2005-02-01,273
2005-03-01,266
2005-04-01,264
2005-05-01,266
2005-06-01,270
2005-07-01,272
2005-08-01,282
2005-09-01,290
2005-10-01,292
2005-11-01,304
2005-12-01,306
2006-01-01,318
2006-02-01,328
2006-03-01,331
2006-04-01,332
2006-05-01,338
2006-06-01,327
2006-07-01,327
2006-08-01,317
2006-09-01,313
2006-10-01,301
2006-11-01,296
2006-12-01,290
2007-01-01,285
2007-02-01,285
2007-03-01,282
2007-04-01,285
2007-05-01,279
2007-06-01,276
2007-07-01,272
2007-08-01,264
2007-09-01,257
2007-10-01,248
2007-11-01,239
2007-12-01,234
2008-01-01,227
2008-02-01,222
2008-03-01,219
2008-04-01,214
2008-05-01,207
2008-06-01,196
2008-07-01,185
2008-08-01,181
2008-09-01,170
2008-10-01,163
2008-11-01,156
2008-12-01,145
2009-01-01,139
2009-02-01,132
2009-03-01,124
2009-04-01,118
2009-05-01,115
2009-06-01,113
2009-07-01,110
2009-08-01,109
2009-09-01,109
2009-10-01,106
2009-11-01,107
2009-12-01,107
2010-01-01,106
2010-02-01,109
2010-03-01,107
2010-04-01,101
2010-05-01,102
2010-06-01,98
2010-07-01,96
2010-08-01,93
2010-09-01,90
2010-10-01,89
2010-11-01,88
2010-12-01,86
2011-01-01,84
2011-02-01,82
2011-03-01,82
2011-04-01,79
2011-05-01,77
2011-06-01,78
2011-07-01,77
2011-08-01,75
2011-09-01,74
2011-10-01,75
2011-11-01,73
2011-12-01,70
2012-01-01,72
2012-02-01,71
2012-03-01,74
2012-04-01,73
2012-05-01,73
2012-06-01,77
2012-07-01,77
2012-08-01,79
2012-09-01,82
2012-10-01,84
2012-11-01,85
2012-12-01,86
